TransactionID,Amount,SenderID,ReceiverID,Timestamp,DeviceID,Location,IsFraud
TXN_000000,1483.93,USER_004,USER_121,2026-02-08 04:42:53.025297,DEV_063,Delhi,0
TXN_000001,1208.02,USER_076,USER_159,2026-02-03 02:09:01.025297,DEV_009,Mumbai,0
TXN_000002,1739.91,USER_092,USER_190,2026-02-12 14:33:04.025297,DEV_108,Delhi,0
TXN_000003,213.4,USER_021,USER_159,2026-01-28 04:09:35.025297,DEV_088,Bangalore,0
TXN_000004,258.4,USER_046,USER_139,2026-02-04 01:42:16.025297,DEV_068,Pune,0
TXN_000005,148.41,USER_011,USER_192,2026-02-09 11:31:59.025297,DEV_076,Pune,0
TXN_000006,563.17,USER_099,USER_125,2026-01-30 07:50:53.025297,DEV_021,Pune,0
TXN_000007,1873.94,USER_047,MERCHANT_042,2026-02-09 06:38:04.025297,DEV_095,Bangalore,0
TXN_000008,547.2,USER_078,MERCHANT_044,2026-01-30 07:06:16.025297,DEV_137,Kolkata,0
TXN_000009,121.32,USER_089,USER_193,2026-02-11 10:49:36.025297,DEV_057,Kolkata,0
TXN_000010,1438.65,USER_041,USER_153,2026-02-15 06:54:23.025297,DEV_069,Mumbai,0
TXN_000011,1127.12,USER_064,USER_152,2026-02-10 08:04:02.025297,DEV_118,Delhi,0
TXN_000012,190.91,USER_075,USER_160,2026-02-02 07:04:19.025297,DEV_103,Bangalore,0
TXN_000013,26062.24,USER_015,MERCHANT_040,2026-01-29 22:00:11.025297,DEV_NEW_1188,Unknown_IP,1
TXN_000014,16.46,USER_069,USER_119,2026-02-01 09:22:57.025297,DEV_088,Mumbai,0
TXN_000015,1742.33,USER_093,USER_118,2026-01-21 05:28:45.025297,DEV_129,Pune,0
TXN_000016,1907.46,USER_082,USER_180,2026-02-04 11:43:57.025297,DEV_051,Delhi,0
TXN_000017,1970.79,USER_001,USER_133,2026-02-15 03:55:10.025297,DEV_126,Mumbai,0
TXN_000018,1633.89,USER_031,MERCHANT_015,2026-02-02 02:01:33.025297,DEV_062,Chennai,0
TXN_000019,1060.07,USER_069,MERCHANT_033,2026-01-26 15:30:57.025297,DEV_033,Kolkata,0
TXN_000020,753.11,USER_028,USER_189,2026-02-07 09:21:29.025297,DEV_052,Kolkata,0
TXN_000021,1112.3,USER_058,MERCHANT_031,2026-02-05 02:16:48.025297,DEV_064,Delhi,0
TXN_000022,667.55,USER_001,MERCHANT_019,2026-02-14 02:52:49.025297,DEV_016,Delhi,0
TXN_000023,1146.38,USER_036,USER_175,2026-02-15 04:42:46.025297,DEV_055,Chennai,0
TXN_000024,852.92,USER_061,USER_155,2026-01-29 03:38:14.025297,DEV_049,Mumbai,0
